,CD,Incumbent,Party,Obama.2012,Romney.2012,Obama.2008,McCain.2008,state,dpres,stgj
413,1.0,"Welch, Peter",(D),67.0,31.2,67.8,30.6,VT,68.2281059063,45
414,1.0,"DelBene, Suzan",(D),54.1,43.3,56.3,41.9,WA,55.5441478439,47
415,2.0,"Larsen, Rick",(D),59.2,38.0,60.5,37.6,WA,60.9053497942,47
416,3.0,"Herrera Beutler, Jaime",(R),47.9,49.6,50.9,47.1,WA,49.1282051282,47
417,4.0,"Hastings, Doc",(R),37.9,59.7,39.2,58.9,WA,38.8319672131,47
418,5.0,"McMorris Rodgers, Cathy",(R),43.7,53.5,46.3,51.2,WA,44.9588477366,47
419,6.0,"Kilmer, Derek",(D),56.1,41.2,57.0,40.9,WA,57.6567317575,47
420,7.0,"McDermott, Jim",(D),79.2,18.1,80.4,18.0,WA,81.3977389517,47
421,8.0,"Reichert, David",(R),49.7,48.1,51.5,46.8,WA,50.81799591,47
422,9.0,"Smith, Adam",(D),68.3,29.6,68.6,29.9,WA,69.7650663943,47
423,10.0,"Heck, Denny",(D),56.3,41.1,57.2,41.0,WA,57.8028747433,47
424,1.0,"Ryan, Paul",(R),47.4,51.6,50.8,48.1,WI,47.8787878788,49
425,2.0,"Pocan, Mark",(D),68.3,30.5,70.1,28.6,WI,69.1295546559,49
426,3.0,"Kind, Ron",(D),54.8,43.8,59.4,39.1,WI,55.5780933063,49
427,4.0,"Moore, Gwen",(D),75.3,23.8,74.4,24.6,WI,75.9838546922,49
428,5.0,"Sensenbrenner, Jim",(R),37.7,61.3,41.8,57.2,WI,38.0808080808,49
429,6.0,"Petri, Tom",(R),45.8,53.1,49.4,49.3,WI,46.3094034378,49
430,7.0,"Duffy, Sean",(R),47.8,50.9,53.2,45.3,WI,48.4295845998,49
431,8.0,"Ribble, Reid",(R),47.2,51.6,53.7,45.0,WI,47.7732793522,49
432,1.0,"McKinley, David",(R),35.5,62.2,41.5,56.7,WV,36.3357215967,48
433,2.0,"Capito, Shelley Moore",(R),38.0,60.0,43.9,54.7,WV,38.7755102041,48
434,3.0,"Rahall, Nick",(D),32.8,65.0,42.3,55.7,WV,33.5378323108,48
435,1.0,"Lummis, Cynthia",(R),27.6,68.2,32.7,65.2,WY,28.8100208768,50
