"","Votes Cast","Liberal","Prog. Conservative","New Democratic Party","Social Credit"
"Cape Breton Highlands-Canso",35440,0.481010158,0.38758465,0.131405192,0
"Cape Breton-East Richmond",33671,0.304624157,0.220100383,0.453476285,0
"Cape Breton-The Sydneys",35306,0.364159066,0.340197134,0.292018354,0
"Capilano",45612,0.253047444,0.594119968,0.145553802,0
"Cardigan",17083,0.466662764,0.481121583,0.052215653,0
"Cariboo-Chilcotin",29880,0.25023427,0.42727577,0.276874163,0.045615797
"Carleton-Charlotte",29882,0.311491868,0.555618767,0.132889365,0
"Central Nova",33416,0.298898731,0.565806799,0.13529447,0
"Chambly",51688,0.637517412,0.139703606,0.064308931,0.124516329
"Champlain",41774,0.53277158,0.100541006,0.031790109,0.066931584
"Charlesbourg",61849,0.659606461,0.094746884,0.061181264,0.169137739
"Charlevoix",31402,0.574199096,0.14339851,0.01952105,0.254888224
"Chateauguay",40562,0.677604655,0.145678221,0.059267295,0.090429466
"Chicoutimi",33572,0.494608602,0.235225783,0.042743953,0.201447635
"Churchill",24282,0.162095379,0.321307965,0.516596656,0
"Cochrane",28960,0.445062155,0.172686464,0.382251381,0
"Comox-Powell River",49855,0.198776452,0.35214121,0.442784074,0
"Cowichan-Malahat-The Islands",43704,0.161884496,0.435314845,0.399757459,0
"Crowfoot",32678,0.181987882,0.771222229,0.046789889,0
"Cumberland-Colchester",40937,0.296895229,0.557612917,0.138310086,0
"Dartmouth-Halifax East",44010,0.351124744,0.487184731,0.161690525,0
"Dauphin",28320,0.152224576,0.432168079,0.415607345,0
"Davenport",22850,0.558424508,0.178993435,0.244157549,0
"Dollard",56464,0.766754038,0.10994616,0.069938368,0.03189643
"Don Valley, East",53732,0.398794015,0.471823122,0.122738778,0
"Don Valley, West",52555,0.344724574,0.54090001,0.106022262,0
"Drummond",40198,0.571894124,0.142942435,0.015896313,0.249017364
"Durham-Northumberland",41039,0.26189722,0.523940642,0.204512781,0
"Duvernay",51766,0.681335239,0.080207086,0.054842947,0.143839586
"Edmonton, East",33358,0.277384735,0.560555189,0.154505666,0
"Edmonton, North",40672,0.252237411,0.605281275,0.139481707,0
"Edmonton, South",46335,0.28533506,0.598100788,0.116564152,0
"Edmonton, West",38484,0.317586529,0.556672903,0.12015383,0
"Edmonton-Strathcona",44446,0.280587679,0.594654187,0.120415785,0
"Eglinton-Lawrence",44939,0.428803489,0.391753266,0.163955584,0
"Egmont",15804,0.394393824,0.56068084,0.044925335,0
"Elgin",34747,0.26687196,0.609577805,0.123550235,0
"Erie",33840,0.330230496,0.458037825,0.20641253,0
"Esquimalt-Saanich",54643,0.149223139,0.545193346,0.290284208,0
"Essex-Kent",32397,0.446245023,0.40685866,0.146896318,0
"Essex-Windsor",45995,0.44293945,0.149472769,0.404457006,0
"Etobicoke, Centre",61352,0.377184118,0.513398096,0.101659278,0
"Etobicoke, North",51774,0.396608336,0.364777688,0.232104918,0
"Etobicoke-Lakeshore",45690,0.345611731,0.329262421,0.312212738,0
"Fraser Valley, East",42692,0.208704207,0.570668978,0.213763703,0
"Fraser Valley, West",49605,0.145852233,0.54212277,0.308880153,0
"Frontenac",36903,0.461317508,0.193480205,0.013332249,0.313849823
"Fundy-Royal",40470,0.33577959,0.472819372,0.191401038,0
"Gamelin",44998,0.679296858,0.104693542,0.061180497,0.116605182
"Gander-Twillingate",24595,0.626468794,0.192193535,0.18133767,0
"Gaspe",28547,0.519494168,0.413248327,0.027428451,0.032717974
"Gatineau",47622,0.71886943,0.066649868,0.13031792,0.069127714
"Glengarry-Prescott-Russell",41489,0.653329798,0.243727253,0.100363952,0
"Gloucester",35625,0.516126316,0.389389474,0.094484211,0
"Grand Falls-White Bay-Labrador",29595,0.460854874,0.115492482,0.423652644,0
"Grey-Simcoe",38042,0.294174859,0.547421271,0.146574838,0.004337311
"Guelph",43251,0.374627176,0.419620356,0.197336478,0
"Haldimand-Norfolk",45716,0.349768134,0.495559542,0.147913203,0.006759122
"Halifax",40961,0.404164937,0.404531139,0.18529821,0
"Halifax West",48108,0.347177185,0.472146005,0.171800948,0
"Halton",54154,0.317040292,0.532739964,0.144735384,0
"Hamilton Mountain",51125,0.339051345,0.417564792,0.24005868,0
"Hamilton, East",38247,0.381180223,0.304389887,0.30807645,0
"Hamilton, West",42331,0.327395998,0.464458671,0.201081949,0
"Hamilton-Wentworth",42331,0.267959651,0.528430701,0.201979637,0
"Hastings-Frontenac",34821,0.320955745,0.503632865,0.163435858,0
"Hillsborough",15164,0.35076497,0.54985492,0.095819045,0
"Hochelaga-Maisonneuve",34023,0.618963642,0.105957734,0.051318226,0.110778003
"Hull",43338,0.701762887,0.053532696,0.165559094,0.054386451
"Humber-Port au Port- St. Barbe",30595,0.287040366,0.194182056,0.518777578,0
"Humboldt-Lake Centre",33382,0.20870529,0.391408544,0.379875382,0.020010784
"Huron-Bruce",35669,0.331324119,0.592166868,0.076509013,0
"Joliette",47238,0.390914095,0.507218765,0.028028282,0.051780346
"Jonquiere",35030,0.627148159,0.045589495,0.077761918,0.216842706
"Kamloops-Shuswap",44282,0.287249898,0.437401201,0.2753489,0
"Kamouraska-Riviere-du-Loup",34897,0.439235464,0.162248904,0.010230106,0.359027997
"Kenora-Rainy River",33544,0.35156809,0.31466134,0.32327689,0.007542332
"Kent",34767,0.336899934,0.517933673,0.145166393,0
"Kindersley-Lloydminster",33677,0.202185468,0.493333729,0.304480803,0
"Kingston and the Islands",44615,0.333206321,0.476902387,0.189891292,0
"Kitchener",51853,0.325921355,0.447997223,0.218791584,0
"Kootenay, East-Revelstoke",31669,0.241813761,0.407464713,0.350721526,0
"Kootenay, West",28883,0.125194751,0.472423225,0.398261953,0
"La Salle",48694,0.750811188,0.095884503,0.0667228,0.054791145
"Labelle",45066,0.657125105,0.134757911,0.047352771,0.146008077
"Lac-Saint-Jean",36089,0.525866608,0.090082851,0.044030037,0.306132062
"Lachine",47151,0.632987635,0.284787173,0.051960722,0.016987975
"Lambton-Middlesex",38690,0.396355647,0.485138279,0.118506074,0
"Lanark-Renfrew-Carleton",40511,0.258818592,0.599269334,0.141912073,0
"Langelier",38953,0.665699689,0.056118913,0.096860319,0.121890483
"Laprairie",56792,0.693935766,0.115790956,0.073742781,0.078549796
"Laurier",28609,0.60701178,0.097521759,0.067601105,0.113600615
"Laval",55207,0.725759415,0.099335229,0.063778144,0.083177858
"Laval-des-Rapides",50627,0.718727161,0.099413357,0.073123037,0.094396271
"Leeds-Grenville",42475,0.277739847,0.568028252,0.154231901,0
"Lethbridge-Foothills",41590,0.176604953,0.698942053,0.089444578,0.030824717
"Levis",54456,0.583094608,0.123512561,0.06228882,0.209398413
"Lincoln",48189,0.311813899,0.406980846,0.278071759,0
"Lisgar",30487,0.20339817,0.700823302,0.095778529,0
"London, East",38383,0.42547482,0.348748144,0.222259855,0
"London, West",59613,0.423699529,0.415110798,0.15731468,0
"London-Middlesex",37149,0.369162023,0.385986164,0.238364424,0
"Longueuil",55823,0.612776096,0.106622718,0.071565484,0.146409186
"Lotbiniere",42041,0.403368141,0.08655836,0.027568326,0.47770034
"Louis-Hebert",57436,0.660004179,0.05783829,0.101190891,0.161867122
"Mackenzie",27225,0.125656566,0.479338843,0.380899908,0.014104683
"Madawaska-Victoria",25642,0.61816551,0.318656891,0.063177599,0
"Malpeque",16562,0.404963169,0.527049873,0.067986958,0
"Manicouagan",31412,0.589838278,0.157519419,0.067012607,0.171208455
"Matapedia-Matane",27245,0.724096164,0.109855019,0.020113782,0.132207745
"Medicine Hat",39988,0.16579974,0.722541763,0.076347904,0.035310593
"Megantic-Compton-Stanstead",37416,0.516062647,0.199460124,0.035172119,0.241794954
"Mercier",45452,0.589281,0.111678254,0.039954237,0.227228725
"Mission-Port Moody",47563,0.169837899,0.388663457,0.438302882,0
"Missisquoi",37881,0.432485943,0.480399145,0.026160872,0.055357567
